,Latitude,Longitude,Solar Radiation,Wind Speed,LST,Relative Humidity,Vegetation,Distance From Roads,Elevation,LULC,Aspect,Suitability_raw,Suitability
1756,24.4898318,86.6990182,0.4800037910227434,0.45000206279136873,0.6937023919323168,0.4559013568813268,0.6579174767768416,0.0021500963221871535,0.058849754792688364,0.0,0.5,38.349304879854884,0.445311035222503
1757,24.4851016,93.3091465,0.38092598602491307,0.14035232476587345,0.439487513819971,0.20643980185225086,0.2290991574854181,0.745532307811396,0.20820329915292018,0.0,0.5,31.519222845682826,0.3102572645440508
1758,24.4828256,72.7820384,0.5687970108360062,0.25812946078633653,0.7232573830608476,0.6908248976954555,0.7242384964355153,0.001375415409302578,0.05907267053053945,0.0,0.75,43.47874105884659,0.5467372983275957
1759,24.5225908,82.6473815,0.5097288557142508,0.30298279631998015,0.7290740226889842,0.5378526814559551,0.6042341758479153,0.018234673321085148,0.05461435577351761,0.75,0.75,47.50864800779814,0.6264221580725019
1760,24.5163356,86.1829223,0.5050676209321909,0.47782499278023,0.692590793836583,0.4480400603058369,0.6662346079066753,0.004900560120041663,0.0840392331698618,0.75,1.0,51.83079240981098,0.71188553845185
1761,24.629594,86.5958595,0.4794322656243296,0.45685878130285906,0.7201648596283935,0.439263407279776,0.5589760207388206,0.09126615266020438,0.06107891217119929,0.75,0.75,48.153090901474656,0.6391649688238952
1762,24.522547,83.6087055,0.5073680824604911,0.2605140476092248,0.6929426342151185,0.47867757915141074,0.5568157269388637,0.001619872701543038,0.034329023629068214,1.0,0.25,41.815590304256325,0.5138511954242422
1763,24.5332368,84.9053475,0.4947370839567951,0.32182020710425324,0.7372125183512447,0.47076243807882834,0.6192482177576151,0.0022707771489825354,0.03588943379402586,0.0,0.25,34.19953180405728,0.36325601764842463
1764,24.5359,81.2934,0.5140971478297817,0.3347580345723835,0.7189198616375055,0.49127719147103166,0.6639662994167206,0.003912384034007039,0.06843513152028534,0.5,0.75,45.63435198663696,0.5893610007161214
1765,24.5645336,87.2506199,0.46085912616925867,0.45486199925739523,0.6828838063003115,0.4248330820590136,0.5739900626485201,0.002969210640684282,0.05372269282211324,0.0,0.0,31.26838432363498,0.3052973404809896
1766,24.548279,84.282469,0.486296314379178,0.315623581830934,0.7383221018551549,0.4759853542967909,0.6194642471376107,0.001532522450762174,0.036558181007579134,0.0,0.25,34.07971813773972,0.3608868971409345
1767,24.5071182,74.328998,0.556906984959405,0.42245142126325314,0.7374845367247808,0.5720439371096274,0.6909699719161806,0.018852863905565127,0.1067766384306732,0.0,0.5,41.86105893430291,0.5147502636791551
1768,24.5564739,86.395885,0.48848189643040774,0.4438631956763894,0.712702245970067,0.4367865604135259,0.5753942536184922,0.008121626158560198,0.0720017833259028,0.0,0.75,40.51726503295458,0.4881789234692129
1769,24.5503902,83.8115931,0.49693128196880665,0.2617187177688849,0.6499358617878009,0.4900926125349989,0.5331605098293368,0.00703983440707377,0.03299152920196166,0.75,0.75,44.280313290722454,0.5625870863454201
1770,24.5675086,82.2418206,0.5188387982457904,0.3217046907875732,0.7106364220635764,0.5309605858281283,0.49405919205011883,0.0223338476677377,0.055283102987070884,0.75,0.75,46.50060758395351,0.6064897971498375
1771,24.5670908,92.6165021,0.22236071581402098,0.17661619703783166,0.5614204903471014,0.12448847727762236,0.3269604666234609,0.002424998817120811,0.008470798038341507,0.5,0.5,26.90145033482367,0.21894831882325003
1772,24.5684657,84.8016642,0.4868707117645188,0.32991460043731285,0.747336525779504,0.46133965108765884,0.6417152732771657,0.0023490042906237733,0.032768613464110564,0.5,0.75,44.576802743407924,0.5684496833612723
1773,24.6272511,84.6567159,0.4848775528373807,0.33258797805189955,0.7398376687934389,0.47302390695670904,0.6012097645279758,0.0025067073860593984,0.03366027641551494,0.5,0.25,38.71293308825421,0.45250119200593203
1774,24.5720843,73.7016537,0.5744318491862238,0.398259004084327,0.6660562364009543,0.7006245961662718,0.6726074746165479,0.005206754713833467,0.1301827909050379,1.0,0.25,48.87003715690137,0.6533414157076568
1775,24.5751308,80.8325721,0.523996886766173,0.34738231775238343,0.7432666227036173,0.5232069782468232,0.6919421041261612,0.0012402304315163616,0.07177886758805171,0.0,0.75,42.20612335613211,0.5215733517565536
